,lr,sr,noise
br,0.6945574894531257,0.8704015346679688,0.1
bu,0.5063177562500016,1.0331378444335961,0.1
ci,1.493493547070312,1.3509030557617194,0.1
db,0.6170056066406261,0.569256345898437,0.1
df,0.7687638695312495,0.8111168041015623,0.1
et,0.8178181273437491,1.0567541063476547,0.1
eu,1.0673152724609367,0.9789310170898426,0.1
gm,1.4660312767578143,1.7171748593750016,0.1
hf,1.3577694212890612,0.9884237178710936,0.1
iz,0.5763451029296897,0.6428132437500012,0.1
jf,1.301872459277343,1.1789367032226556,0.1
js,0.8724551546875017,1.0031817753906256,0.1
ka,0.8381049624023433,1.0690768019531265,0.1
ll,0.45505308193359156,0.48597329824218605,0.1
lr,0.6359782583007814,0.7455480131835919,0.1
ni,0.8623252007812511,1.0828221190429685,0.1
or,0.8393794647460942,1.1566376830078122,0.1
pa,0.916061920214845,0.9884464243164086,0.1
pr,1.1133292846679683,1.138737028417969,0.1
ra,0.5646068239257795,0.5525228962890617,0.1
rj,0.8062683514648427,1.1636335213867175,0.1
so,0.760764278320313,0.9369765081054697,0.1
sp,1.0480616448242204,1.1572367808593782,0.1
wg,0.6641792694335953,0.5691766060546893,0.1
