,lr,sr,noise
br,0.6442705930664073,0.662759656250002,0.05
bu,0.438159746972658,0.5038114909179694,0.05
ci,1.4823601410156249,1.476790757617187,0.05
db,0.5879657790039079,0.5865236723632842,0.05
df,0.7344489778320309,0.6802037441406248,0.05
et,0.7929878919921868,0.820501602441405,0.05
eu,1.0582088856445302,1.0504388348632807,0.05
gm,1.4410905144531267,1.561133803710939,0.05
hf,1.2745475615234358,1.204152339648436,0.05
iz,0.5696623046875021,0.5716459472656271,0.05
jf,1.2980387463867173,1.3276226530273432,0.05
js,0.8441948375976568,0.8926110596679706,0.05
ka,0.8289412148437498,0.8754443825195313,0.05
ll,0.4490433216796862,0.4572416786132794,0.05
lr,0.6184175283203126,0.6304805219726529,0.05
ni,0.8156000471679699,0.8283973592773447,0.05
or,0.7904976470703121,0.8148683348632807,0.05
pa,0.8614953584960949,0.8210312179687514,0.05
pr,1.0821858044921873,1.0754447692382803,0.05
ra,0.5448152405273424,0.5444898450195297,0.05
rj,0.7929934527343744,0.8414534800781246,0.05
so,0.9148314134765622,0.9276037199218741,0.05
sp,1.0940730112304704,1.1067478531250021,0.05
wg,0.6288627375000027,0.6533444833007838,0.05
