,lr,sr,noise
br,0.6224598600585949,0.6507777299804701,0.01
bu,0.41165426005859446,0.4539958557617206,0.01
ci,1.4768173020507818,1.5004632449218758,0.01
db,0.5751224412109395,0.5740338528320337,0.01
df,0.7313175075195312,0.673223095507812,0.01
et,0.7814466876953117,0.7884334261718737,0.01
eu,1.053281260546874,1.042342874804687,0.01
gm,1.432926256250001,1.5149390456054703,0.01
hf,1.225830258593748,1.2046185867187484,0.01
iz,0.5651179549804709,0.5620875815429707,0.01
jf,1.2995213374023427,1.323119079296874,0.01
js,0.8527865235351573,0.8825775439453133,0.01
ka,0.8377180474609373,0.8618514464843747,0.01
ll,0.4496585560546862,0.4569239075195298,0.01
lr,0.6037607451171857,0.6054644956054664,0.01
ni,0.7908503456054694,0.7941398353515632,0.01
or,0.7733552234374992,0.7846030872070304,0.01
pa,0.8230475569335954,0.8124141254882818,0.01
pr,1.0668689531250004,1.0816373247070317,0.01
ra,0.5365208781249987,0.5366187512695296,0.01
rj,0.7949684346679681,0.8259815840820306,0.01
so,0.7416075564236103,0.7556747513218108,0.01
sp,1.0849174981445338,1.08796834042969,0.01
wg,0.6273746576171897,0.6443174585937521,0.01
