,lr,sr,noise
br,0.6192765910156272,0.6468863384765637,0.001
bu,0.4119919878906262,0.4512640810546884,0.001
ci,1.4764630695312513,1.503174731738282,0.001
db,0.5730359543945331,0.5736121415039083,0.001
df,0.7339902877929688,0.6727720457031245,0.001
et,0.7789756793945304,0.7871761019531237,0.001
eu,1.052354746874999,1.0409622297851553,0.001
gm,1.4327868366210947,1.5165470167968766,0.001
hf,1.2178153979492168,1.207881838964842,0.001
iz,0.5649232977539083,0.5619481162109394,0.001
jf,1.299909826171874,1.32209033173828,0.001
js,0.8590954942382819,0.878882170410157,0.001
ka,0.8403682203124992,0.859135705566406,0.001
ll,0.4497964955078112,0.45700691533202986,0.001
lr,0.6010185927734346,0.6034733295898433,0.001
ni,0.7880173988281257,0.7920347328125007,0.001
or,0.7727765103515611,0.7848160999023429,0.001
pa,0.8166022444335954,0.8109196796875006,0.001
pr,1.0646262163085942,1.0824011796875004,0.001
ra,0.5357438123046859,0.5361176526367172,0.001
rj,0.8056842256549867,0.8340844070588691,0.001
so,0.7390377852539052,0.7557099285156244,0.001
sp,1.084243975195315,1.0881606011718776,0.001
wg,0.6268918695312522,0.6453998707031274,0.001
